#separator:pipe
#html:true
#deck:sonaveeb-b1-deck
#columns:front|frontExamples|frontWordForms|back
aednik|<ol><li>aiandusega, aiakultuuride kasvatamisega (elukutseliselt) tegelev isik,inimene, kelle töö on hoolitseda aia eest<br><ul><li>Aednik niidab muru ja kastab lilli.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>aednik</td><td>aednikud</td></tr><tr><td>omas</td><td>aedniku</td><td>aednike,aednikkude</td></tr><tr><td>osas</td><td>aednikku</td><td>aednikke,aednikkusid</td></tr><tr><td>lüh sütl</td><td>aednikku</td><td></td></tr></tbody></table>|<ol><li>садовница, садовник, садовод</li></ol>
aedvili|<ol><li>hrl kasvatatav taim, mille osi või tervet taime tarvitatakse söögiks, nt kartul, kapsas, porgand, tomat, aedhernes, salat,taim või taime osa, mida inimesed söövad, näiteks tomat, kapsas ja kartul<br><ul><li>A-vitamiini saab punast ja kollast, aga ka rohelist värvi aedviljadest nagu porgand, tomat, kõrvits, murel, spinat, roheline sibul.</li><li>Pakuti hautatud aedvilja.</li><li>Peaksime sööma rohkem värsket aedvilja.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>aedvili</td><td>aedviljad</td></tr><tr><td>omas</td><td>aedvilja</td><td>aedviljade</td></tr><tr><td>osas</td><td>aedvilja</td><td>aedvilju,aedviljasid</td></tr><tr><td>lüh sütl</td><td>aedvilja</td><td></td></tr></tbody></table>|<ol><li>овощ, овощи, плодоовощи, <span style="opacity: 0.41411764705882353">корнеплод</span>, <span style="opacity: 0.41411764705882353">корнеплодное растение</span></li></ol>
aeglaselt|<ol><li><br><ul><li>Õpetaja räägib aeglaselt ja rahulikult.</li></ul></ol>||<ol><li>медленно, неторопливо, не спеша, потихоньку, <span style="opacity: 0.5294117647058824">медленно</span></li></ol>
aeroobika|<ol><li>intensiivne rütmikas võimlemine või tantsimine muusika saatel,vastav treeningutund,füüsilised harjutused, mida inimesed teevad tavaliselt rühmades muusika saatel<br><ul><li>Laagris tehti hommikvõimlemiseks aeroobikat.</li><li>Olen aastaid aeroobikas käinud.</li><li>Ma käin kaks korda nädalas aeroobikas.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>aeroobika</td><td>aeroobikad</td></tr><tr><td>omas</td><td>aeroobika</td><td>aeroobikate</td></tr><tr><td>osas</td><td>aeroobikat</td><td>aeroobikaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>аэробика</li></ol>
aevastama|<ol><li>nina limaskesta ärrituse tõttu õhku ninast (ja suust) välja purskama,ninast (ja suust) õhku järsult välja hingama, nii et tekib tugev heli<br><ul><li>Tolm ajas aevastama.</li><li>Jube nohu – muudkui aevasta ja nuuska vaheldumisi.</li><li>Pipar ajab aevastama.</li><li>Kui mul on nohu, siis ma aevastan tihti.</li></ul><li>oma üleolevat suhtumist välja näitama, millestki (või kellestki) mitte hoolima, millestki mitte välja tegema<br><ul><li>Ma aevastan selle peale, mida sina asjast arvad!</li></ul></ol>|<table><thead><tr><th>-ma</th><th>-da</th><th>-n</th></tr></thead><tbody><tr><td>aevastama</td><td>aevastada</td><td>aevastan</td></tr></tbody></table>|<ol><li>чихать, чихнуть, <span style="opacity: 0.5294117647058824">фыркнуть</span>, <span style="opacity: 0.5294117647058824">проурчать</span>, <span style="opacity: 0.5294117647058824">урчать</span></li><li>чихать, начихать, плевать, наплевать, <span style="opacity: 0.5294117647058824">пренебрегать</span></li></ol>
agressiivne|<ol><li>füüsilise jõuga, sõnadega vm viisil kallale tungiv või rünnata tahtev,kui keegi on <eki-highlight>agressiivne</eki-highlight>, siis ta on vihane ja tahab kellegagi vaielda, võidelda või kedagi rünnata<br><ul><li>Kiusamine on tavaliselt haigettegev ja tahtlik agressiivse käitumise vorm.</li><li>Mulle ei meeldi agressiivsed inimesed.</li><li>Agressiivne koer hammustas mitut inimest.</li></ul><li>teist riiki või teisi riike relvajõuga ähvardav või ründav,vallutushimuline<br><ul><li>Julgeolek satub ohtu, kui kasvab strateegilisi relvi omavate agressiivsete riikide hulk.</li></ul><li>(liikluses:) jõuliselt oma vajadustest lähtuv, kaasliiklejate turvalisust mitte arvestav, vihaselt reageeriv<br><ul><li>Agressiivne juht võib olla ohtlikum kui joobes juht.</li><li>Agressiivse sõidustiili tunnused on tugevad kiirendused ja pidurdused, pidev sõiduridade vahetus, pidev kiiruse ületamine, tulede vilgutamine ja helisignaali põhjuseta kasutamine.</li></ul><li>(müügi ja turunduse valdkonnas:) jõuliselt pealekäiv või midagi peale suruv, nii tegutsev või mõjuv<br><ul><li>Agressiivne müügimees.</li><li>Agressiivne kampaania.</li></ul><li>keemiliselt purustav, teist ainet lagundav või hävitav<br><ul><li>Agressiivse vee tõttu on paljud torud läbi roostetanud.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>agressiivne</td><td>agressiivsed</td></tr><tr><td>omas</td><td>agressiivse</td><td>agressiivsete</td></tr><tr><td>osas</td><td>agressiivset</td><td>agressiivseid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>агрессивный, <span style="opacity: 0.5294117647058824">воинствующий</span>, <span style="opacity: 0.5294117647058824">воинственный</span>, <span style="opacity: 0.5235294117647059">готовый к нападению</span>, <span style="opacity: 0.5235294117647059">агрессивный</span></li><li>агрессивный, <span style="opacity: 0.5294117647058824">воинственный</span>, <span style="opacity: 0.5294117647058824">воинствующий</span>, <span style="opacity: 0.5235294117647059">агрессивный</span>, <span style="opacity: 0.5235294117647059">готовый к нападению</span></li><li>агрессивный, <span style="opacity: 0.5235294117647059">грубый</span>, <span style="opacity: 0.5235294117647059">жестокий</span>, <span style="opacity: 0.5235294117647059">брутальный</span>, <span style="opacity: 0.4117647058823529">наглый</span></li><li>агрессивный, <span style="opacity: 0.5235294117647059">назойливый</span>, <span style="opacity: 0.5235294117647059">прилипчивый</span>, <span style="opacity: 0.5235294117647059">навязчивый</span>, <span style="opacity: 0.5235294117647059">надоедливый</span></li><li>агрессивный</li></ol>
ahi|<ol><li>kinnine tulekolle ruumi(de) kütmiseks,seade, mille sees põletatakse puid, et sellega ruume kütta<br><ul><li>Tegin tule ahju.</li><li>Ahi ajab suitsu sisse.</li><li>Saunaahi.</li><li>Keskkütteahi.</li><li>Ahi ajab suitsu sisse.</li></ul><li>pliidi sisse ehitatud kinnine kamber toidu küpsetamiseks,mikrolaineahi, grillahi vms,pliidi osa, mille sees saab toitu valmistada ja millel on uks ees<br><ul><li>Vanaema võttis ahjust õunakoogi.</li><li>Panin leiva ahju.</li><li>Liha on ahjus.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ahi</td><td>ahjud</td></tr><tr><td>omas</td><td>ahju</td><td>ahjude</td></tr><tr><td>osas</td><td>ahju</td><td>ahje,ahjusid</td></tr><tr><td>lüh sütl</td><td>ahju</td><td></td></tr></tbody></table>|<ol><li>печь, печка</li><li>духовка</li></ol>
ahjuküte|<ol><li>kütmisviis, kus ruume köetakse ahju(de)ga,vastav küttesüsteem,ahju abil töötav küte<br><ul><li>Astmaatikutele sobivat paremini ahjuküte.</li><li>Paljudes Euroopa suurlinnades on ahjuküte keelatud.</li><li>Elan ühetoalises ahjuküttega üürikorteris.</li><li>Kas teie majas on keskküte või ahjuküte?</li></ul><li>ahju pandavad puud, brikett vm kütmismaterjalina<br><ul><li>Vastu talve tuleb ahjukütet muretseda.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ahjuküte</td><td>ahjukütted</td></tr><tr><td>omas</td><td>ahjukütte</td><td>ahjukütete</td></tr><tr><td>osas</td><td>ahjukütet</td><td>ahjukütteid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>печное отопление</li><li>печное топливо, <span style="opacity: 0.45294117647058824">печное топливо</span>, <span style="opacity: 0.42176470588235293">дрова</span>, <span style="opacity: 0.40235294117647064">топливо</span></li></ol>
ahv|<ol><li>troopikametsades hrl puude otsas elav inimesele päritolult lähim imetaja,karvane loom, kes oskab puude otsas ronida<br><ul><li>Pole teada, kes tõi saarele ahvid.</li><li>Ahvid ja papagoid kriiskasid.</li><li>Puude otsas karglesid ahvid.</li><li>Erinevalt teistest ahvidest ronib gorilla harva puu otsa.</li><li>Ahv sööb banaani.</li></ul><li>(tobedalt, ebameeldivalt mõjuva inimese kohta, ka sõimusõnana)<br><ul><li>Ainult ahvid ei oska õppejõudu kõnetleda tema tiitli järgi.</li><li>Päris ahv oled sa, Petrov!</li></ul><li>Hiina astroloogias üks kaheteistkümnest loomamärgist, mis mõjutab ja tähistab teatavat aastat ja sellel aastal sündinud inimeste iseloomuomadusi,ahviaastal sündinu<br><ul><li>Ise olen Ahv Jäär, mees on Madu Kalad.</li><li>Lugesin kuskilt, et tiiger Kaalud ja ahv Kalad ei sobi absoluutselt.</li></ul><li>sõjas, õppustel sõduritele kaasa pandud toit<br><ul><li>Siitpeale jagas Ruudi oma ahvid ainult Ilmariga.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ahv</td><td>ahvid</td></tr><tr><td>omas</td><td>ahvi</td><td>ahvide</td></tr><tr><td>osas</td><td>ahvi</td><td>ahve,ahvisid</td></tr><tr><td>lüh sütl</td><td>ahvi</td><td></td></tr></tbody></table>|<ol><li>обезьяна, <span style="opacity: 0.459235294117647">обезьяна</span>, <span style="opacity: 0.459235294117647">мартышка</span>, <span style="opacity: 0.4117647058823529">обезьяны</span></li><li>обезьяна, <span style="opacity: 0.459235294117647">мартышка</span>, <span style="opacity: 0.4117647058823529">глупец</span>, <span style="opacity: 0.4117647058823529">болван</span>, <span style="opacity: 0.4117647058823529">балда</span></li><li>Обезьяна</li><li>продуктовый пакет</li></ol>
ahven|<ol><li>Euroopa ja Põhja-Aasia tumedavöödiline punakate uimedega mage- ning riimveekala,teatud kala, kes toitub väikestest kaladest ning kes elab ka Eesti meredes ja jõgedes<br><ul><li>Jões leidub ahvenat ja haugi.</li></ul><li>ahvenaliha toiduna,ahvenalt saadud liha toiduna<br><ul><li>Õhtusöögiks on praetud ahven.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ahven</td><td>ahvenad</td></tr><tr><td>omas</td><td>ahvena</td><td>ahvenate</td></tr><tr><td>osas</td><td>ahvenat</td><td>ahvenaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>окунь</li><li></li></ol>
