#separator:pipe
#html:true
#deck:sonaveeb-b1-deck
#columns:front|frontExamples|frontWordForms|back
broneerima|<ol><li>(kohta, ruumi, pileteid vm) ette tellima või kinni panema, millegi saamist tagama,midagi enda jaoks kinni panema, näiteks tuba hotellis, kohti või ruumi restoranis<br><ul><li>Kalle broneeris lennupileti reisifirma kaudu.</li><li>Broneerisin laua kahele.</li><li>Hotellil on õigus broneerida teie krediitkaardilt teatav summa enne hotelli saabumist.</li><li>Broneerisin etendusele kaks piletit.</li><li>Kelle nimele tuba broneeritud on?</li></ul></ol>|<table><thead><tr><th>-ma</th><th>-da</th><th>-n</th></tr></thead><tbody><tr><td>broneerima</td><td>broneerida</td><td>broneerin</td></tr></tbody></table>|<ol><li>бронировать, забронировать, заказывать, заказать, букировать</li></ol>
brünett|<ol><li>(juuste kohta:) tumepruun või mustjas,tumepruunide või mustjate juustega,tumedate juustega<br><ul><li>Brünetid juuksed.</li><li>Marleen on pärinud brünetid kiharad ja šokolaadikarva naha isalt.</li><li>Brünett naine.</li><li>Ta on ilus brünett naine.</li></ul><li>tumedate juustega inimene,inimene, kellel on tumedad juuksed<br><ul><li>Kondine brünett.</li><li>Kas sulle meeldivad rohkem blondid või brünetid?</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>brünett</td><td>brünetid</td></tr><tr><td>omas</td><td>brüneti</td><td>brünettide</td></tr><tr><td>osas</td><td>brünetti</td><td>brünette,brünettisid</td></tr><tr><td>lüh sütl</td><td>brünetti</td><td></td></tr></tbody></table>|<ol><li>брюнетистый, с тёмными волосами, <span style="opacity: 0.5235294117647059">темноволосый</span>, <span style="opacity: 0.5235294117647059">с тёмными волосами</span>, <span style="opacity: 0.5235294117647059">темноволосый</span></li><li>брюнет, брюнетка</li></ol>
bussipeatus|<ol><li>liinibusside peatuskoht liinil,koht, kus bussid peatuvad, et inimesed saaksid siseneda või väljuda<br><ul><li>Ootasin bussipeatuses bussi.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>bussipeatus</td><td>bussipeatused</td></tr><tr><td>omas</td><td>bussipeatuse</td><td>bussipeatuste</td></tr><tr><td>osas</td><td>bussipeatust</td><td>bussipeatusi</td></tr><tr><td>lüh sütl</td><td>bussipeatusse</td><td></td></tr></tbody></table>|<ol><li>автобусная остановка, остановка автобуса, <span style="opacity: 0.4117647058823529">остановка</span></li></ol>
büroo|<ol><li>asutus või selle osakond (ja vastavad ruumid), kus tegeldakse paberi- ja arvutitööga, osutatakse mõnd teenust vms,koht, kus mingi organisatsiooni või osakonna inimesed töötavad ja kust saab mingit informatsiooni või teenust<br><ul><li>Peaministri büroo.</li><li>Tõlkebüroo.</li><li>Meie büroos töötab viis inimest.</li><li>Juurdlusbüroo.</li><li>Ta töötab päästeameti avalike suhete büroos.</li></ul><li>Nõukogude ajal organisatsiooni (nt partei), samuti kongressi vms juhtorgan<br><ul><li>Komsomolibüroo.</li><li>Ta valiti büroo liikmeks.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>büroo</td><td>bürood</td></tr><tr><td>omas</td><td>büroo</td><td>büroode</td></tr><tr><td>osas</td><td>bürood</td><td>büroid,büroosid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>контора, бюро, офис, <span style="opacity: 0.5294117647058824">канцелярия</span></li><li>бюро</li></ol>
delegatsioon|<ol><li>rühm valitsuse, asutuse, organisatsiooni või kollektiivi poolt volitatud ning lähetatud esindajaid,rühm valitsuse või mingi muu organisatsiooni saadetud esindajaid<br><ul><li>Europarlamendi Eesti delegatsioon.</li><li>Olümpiadelegatsioon.</li><li>Soome delegatsioon külastas riigikogu.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>delegatsioon</td><td>delegatsioonid</td></tr><tr><td>omas</td><td>delegatsiooni</td><td>delegatsioonide</td></tr><tr><td>osas</td><td>delegatsiooni</td><td>delegatsioone,delegatsioonisid</td></tr><tr><td>lüh sütl</td><td>delegatsiooni</td><td></td></tr></tbody></table>|<ol><li>делегация</li></ol>
demokraatia|<ol><li>poliitilise korra vorm, kus riigi juhtimine toimub rahva valitud saadikute kaudu, eksisteerivad kodanikuvabadused ja demokraatlikud õigused,poliitilise korra vorm, kus rahvas valib saadikud, kes juhivad riiki<br><ul></ul><li>demokraatlik riik, demokraatlik režiim<br><ul><li>Suur majanduslangus õõnestas ka kindlaimate demokraatiate jalgealust.</li><li>Tänapäeva arenenud demokraatiad on omaks võtnud pigem osalusdemokraatia käsitluse ning paigutanud eliididemokraatia muuseumiriiulile.</li></ul><li>sotsiaalsete suhete vorm, kus ühine tegevus rühmas vastab enamuse soovidele,sotsiaalsete suhete vorm, kus grupis tehakse nii, nagu enamus soovib<br><ul><li>Parteisisene demokraatia.</li><li>Rühmas valitses demokraatia.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>demokraatia</td><td>demokraatiad</td></tr><tr><td>omas</td><td>demokraatia</td><td>demokraatiate</td></tr><tr><td>osas</td><td>demokraatiat</td><td>demokraatiaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>демократия, народная власть, власть народа, народовластие</li><li></li><li>демократия, <span style="opacity: 0.5294117647058824">гражданская свобода</span></li></ol>
demokraatlik|<ol><li>poliitilisele rahvavõimule ja kodanikuvabadustele toetuv, demokraatial rajanev, sellele omane,demokraatial põhinev või sellele omane<br><ul><li>Demokraatlik riik.</li><li>Demokraatlikud valimised.</li><li>Riigis valitseb demokraatlik kord.</li><li>Tal on demokraatlikud vaated.</li></ul><li>paljudega arvestav, erisusi salliv<br><ul><li>Ta on demokraatlik juht.</li><li>Selles mõttes on kitarr tõeliselt demokraatlik pill.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>demokraatlik</td><td>demokraatlikud</td></tr><tr><td>omas</td><td>demokraatliku</td><td>demokraatlike,demokraatlikkude</td></tr><tr><td>osas</td><td>demokraatlikku</td><td>demokraatlikke,demokraatlikkusid</td></tr><tr><td>lüh sütl</td><td>demokraatlikku</td><td></td></tr></tbody></table>|<ol><li>демократический, демократичный</li><li>демократичный</li></ol>
dialoog|<ol><li>kõnelus, mõttevahetus kahe või mitme isiku vahel,vestlus kahe inimese või kahe inimeste rühma vahel<br><ul><li>Jäin otsekohese dialoogiga väga rahule.</li><li>Näidendis oli huvitav dialoog.</li></ul><li>kahekõne antiikkirjandusest lähtunud filosoofilise proosa žanrina<br><ul></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>dialoog</td><td>dialoogid</td></tr><tr><td>omas</td><td>dialoogi</td><td>dialoogide</td></tr><tr><td>osas</td><td>dialoogi</td><td>dialooge,dialoogisid</td></tr><tr><td>lüh sütl</td><td>dialoogi</td><td></td></tr></tbody></table>|<ol><li>диалог, <span style="opacity: 0.5294117647058824">разговор</span>, <span style="opacity: 0.5294117647058824">речь</span>, <span style="opacity: 0.5294117647058824">беседа</span>, <span style="opacity: 0.5294117647058824">беседа</span></li><li>диалог</li></ol>
dieet|<ol><li>hrl teatud piirangutega, ettekirjutatud toitumiskord või -viis, mille eesmärk on parandada tervist, ennetada haigusi, muuta toitumisharjumusi või võtta kaalust alla,spetsiaalne viis toituda, kui sa tahad kaalust alla võtta või oled haige<br><ul><li>Pool aastat tagasi hakkasin pidama dieeti.</li><li>Laps pandi dieedile.</li><li>Patsient on rangel dieedil.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>dieet</td><td>dieedid</td></tr><tr><td>omas</td><td>dieedi</td><td>dieetide</td></tr><tr><td>osas</td><td>dieeti</td><td>dieete,dieetisid</td></tr><tr><td>lüh sütl</td><td>dieeti</td><td></td></tr></tbody></table>|<ol><li>диета, <span style="opacity: 0.4117647058823529">диетическое питание</span>, <span style="opacity: 0.4117647058823529">диетпитание</span>, <span style="opacity: 0.4117647058823529">специальное питание</span>, <span style="opacity: 0.4117647058823529">особое питание</span></li></ol>
digiallkiri|<ol><li>sõnumi autentsust ja selle seotust allakirjutanuga elektrooniliselt tõestav allkirja vaste,elektrooniline allkiri<br><ul><li>Paljud inimesed ei oska digiallkirja anda.</li><li>Pane avaldusele digiallkiri ja saada see mulle tagasi.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>digiallkiri</td><td>digiallkirjad</td></tr><tr><td>omas</td><td>digiallkirja</td><td>digiallkirjade</td></tr><tr><td>osas</td><td>digiallkirja</td><td>digiallkirju,digiallkirjasid</td></tr><tr><td>lüh sütl</td><td>digiallkirja</td><td></td></tr></tbody></table>|<ol><li>электронная цифровая подпись, цифровая подпись, электронная подпись, дигитальная подпись</li></ol>
digitaalne|<ol><li>elektroonikaseadme (nt arvuti, nutitelefon) või elektronseadise (nt mikrokiip, transistor) kasutamisel põhinev,elektrit ja väga väikseid elektriga töötavaid osi kasutav,selliste seadmete vahendusel töötav või toimuv<br><ul><li>Digitaalne muusikakanal.</li><li>Digitaalne haiguslugu.</li><li>Digitaalne kaamera.</li><li>Digitaalne allkiri.</li><li>Avaldusel peab olema digitaalne allkiri.</li></ul><li>numbri(te)ga esitatud, numbrites väljenduv<br><ul></ul><li>sõrme(de) abil toimuv<br><ul><li>Eesnäärme digitaalne palpeerimine.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>digitaalne</td><td>digitaalsed</td></tr><tr><td>omas</td><td>digitaalse</td><td>digitaalsete</td></tr><tr><td>osas</td><td>digitaalset</td><td>digitaalseid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>цифровой, дигитальный, электронный, <span style="opacity: 0.4117647058823529">виртуальный</span></li><li>цифровой, числовой, численный, <span style="opacity: 0.5235294117647059">статистический</span>, <span style="opacity: 0.4852941176470588">численный</span></li><li>дигитальный, пальцевой, производимый пальцем</li></ol>
diislikütus|<ol><li>peamiselt mootorikütusena kasutatav, nafta töötlemisel saadav segu, mis keeb temperatuurivahemikus 200–350 °C,vedelik, mida kasutatakse teatud mootorites bensiini asemel<br><ul><li>Kontrollreidi käigus võeti proove diislikütusest ning autobensiinist 95.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>diislikütus</td><td>diislikütused</td></tr><tr><td>omas</td><td>diislikütuse</td><td>diislikütuste</td></tr><tr><td>osas</td><td>diislikütust</td><td>diislikütuseid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>дизельное топливо</li></ol>
diplom|<ol><li>kõrgkooli lõpetamist, teadusliku kraadi andmist vms tõendav dokument,dokument, mis näitab, et sa oled läbinud teatud õpingud<br><ul><li>Diplom taskus, nüüd võib paremat töökohta jahtima hakata.</li><li>Arstidiplom.</li><li>Ülikooli lõpetajatele andis diplomid üle rektor.</li></ul><li>autasuna antav tunnistus eduka soorituse eest spordivõistlusel vm,tunnistus, mille saab auhinnaks mingil võistlusel või konkursil<br><ul><li>Kolm kõige kiiremat last said diplomi.</li><li>Spordivõistluse kolm parimat said diplomi.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>diplom</td><td>diplomid</td></tr><tr><td>omas</td><td>diplomi</td><td>diplomite</td></tr><tr><td>osas</td><td>diplomit</td><td>diplomeid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>диплом, <span style="opacity: 0.4117647058823529">документ</span>, <span style="opacity: 0.4117647058823529">бумаги</span>, <span style="opacity: 0.4117647058823529">свидетельство</span>, <span style="opacity: 0.4117647058823529">удостоверение</span></li><li>диплом, <span style="opacity: 0.4117647058823529">почётная грамота</span>, <span style="opacity: 0.4117647058823529">свидетельство</span>, <span style="opacity: 0.4117647058823529">удостоверение</span></li></ol>
diplomaat|<ol><li>valitsuse esindaja rahvusvahelises suhtlemises,ametiisik, kes on volitatud poliitilisteks läbirääkimisteks välisriikide esindajatega,inimene, kelle töö on esindada oma riiki rahvusvahelises suhtlemises<br><ul><li>President kohtus välisriikide diplomaatidega.</li></ul><li>(diplomaatlikult käituva ja toimiva inimese kohta)<br><ul><li>Keerulises olukorras tuli olla tõeline diplomaat.</li></ul><li>väike neljakandiline kastilaadne portfell peamiselt dokumentide kaasaskandmiseks<br><ul><li>Ametnik unustas diplomaadi koos tähtsate dokumentidega baarileti äärde.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>diplomaat</td><td>diplomaadid</td></tr><tr><td>omas</td><td>diplomaadi</td><td>diplomaatide</td></tr><tr><td>osas</td><td>diplomaati</td><td>diplomaate,diplomaatisid</td></tr><tr><td>lüh sütl</td><td>diplomaati</td><td></td></tr></tbody></table>|<ol><li>дипломат, дипломатка, <span style="opacity: 0.4117647058823529">делегат</span>, <span style="opacity: 0.4117647058823529">делегатка</span>, <span style="opacity: 0.4117647058823529">делегат</span></li><li>дипломат</li><li>портфель дипломата, кейс дипломат, дипломат</li></ol>
diplomaatiline|<ol><li>diplomaatiasse puutuv, diplomaatiaga seotud,eri riikide vahelise suhtluse korraldamisega seotud<br><ul><li>Diplomaatilised suhted.</li><li>Diplomaatiline esindus.</li></ul><li>ettevaatlik ja üldsõnaline<br><ul><li>Keegi ei julgenud midagi ennustada ja seepärast anti diplomaatilisi vastuseid.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>diplomaatiline</td><td>diplomaatilised</td></tr><tr><td>omas</td><td>diplomaatilise</td><td>diplomaatiliste</td></tr><tr><td>osas</td><td>diplomaatilist</td><td>diplomaatilisi</td></tr><tr><td>lüh sütl</td><td>diplomaatilisse</td><td></td></tr></tbody></table>|<ol><li>дипломатический, <span style="opacity: 0.3511764705882353">внешнеполитический</span></li><li>дипломатичный, <span style="opacity: 0.4117647058823529">декларативный</span>, <span style="opacity: 0.4117647058823529">декларационный</span>, <span style="opacity: 0.4117647058823529">голословный</span>, <span style="opacity: 0.4117647058823529">неконкретный</span></li></ol>
dirigent|<ol><li>orkestri- või koorijuht,inimene, kelle töö on seista muusikute ees ja juhatada nende mängu<br><ul><li>Dirigent tõstis taktikepi.</li><li>Orkestridirigent.</li><li>Orkestrit juhatab kuulus dirigent.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>dirigent</td><td>dirigendid</td></tr><tr><td>omas</td><td>dirigendi</td><td>dirigentide</td></tr><tr><td>osas</td><td>dirigenti</td><td>dirigente,dirigentisid</td></tr><tr><td>lüh sütl</td><td>dirigenti</td><td></td></tr></tbody></table>|<ol><li>дирижёр, <span style="opacity: 0.5294117647058824">капельмейстер</span>, <span style="opacity: 0.49305882352941177">капельмейстер</span>, <span style="opacity: 0.49305882352941177">дирижёр оркестра</span>, <span style="opacity: 0.481">руководитель хора</span></li></ol>
disain|<ol><li>toodete ja teenuste loov ja hrl tehnoloogiliselt uuenduslik arendamine ja kujundamine (nt tarbeesemete, rõivaste, veebikeskkonna puhul)<br><ul><li>Kontsern tegeleb naisterõivaste disaini, tootmise ja turustamisega.</li><li>Lõppes avalduste vastuvõtt teenuste disaini ja juhtimise õppekavale.</li><li>Mööblidisain.</li><li>Tööstusdisain.</li><li>Teenusedisain.</li></ul><li>toodete väliskujundus,see, kuidas toode välja näeb<br><ul><li>Ülimoodsa disainiga rõivad.</li><li>Silikoonümbrisega on disainilt ilus telefon muudetud koledaks känkariks.</li><li>Autol on äge disain.</li><li>Mulle ei meeldi kodulehe uus disain.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>disain</td><td>disainid</td></tr><tr><td>omas</td><td>disaini</td><td>disainide</td></tr><tr><td>osas</td><td>disaini</td><td>disaine,disainisid</td></tr><tr><td>lüh sütl</td><td>disaini</td><td></td></tr></tbody></table>|<ol><li>дизайн, <span style="opacity: 0.5294117647058824">дизайн</span>, <span style="opacity: 0.5294117647058824">художественное конструирование</span>, <span style="opacity: 0.4117647058823529">дизайн</span>, <span style="opacity: 0.4117647058823529">оформление</span></li><li>дизайн, <span style="opacity: 0.29705882352941176">внешний вид</span>, <span style="opacity: 0.29705882352941176">внешность</span>, <span style="opacity: 0.29705882352941176">наружность</span>, <span style="opacity: 0.29705882352941176">внешний облик</span></li></ol>
disainer|<ol><li>tarbeesemete, rõivaste, veebikeskkonna vm toodete ja teenuste loov arendaja ja kujundaja,inimene, kelle töö on kujundada tooteid, näiteks riideid või mööblit<br><ul><li>Tootedisainer.</li><li>Pesudisainer.</li><li>Näitusel esitati noorte disainerite loomingut.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>disainer</td><td>disainerid</td></tr><tr><td>omas</td><td>disaineri</td><td>disainerite</td></tr><tr><td>osas</td><td>disainerit</td><td>disainereid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>дизайнер, художник-конструктор, <span style="opacity: 0.5294117647058824">дизайнер</span>, <span style="opacity: 0.5294117647058824">художник-оформитель</span>, <span style="opacity: 0.5294117647058824">декоратор</span></li></ol>
diskussioon|<ol><li>arvamuste vahetamine (nt koosolekul, trükisõnas), arutlus või vaidlus,arvamuste vahetamine (näiteks koosolekul, ajalehes), arutlus või vaidlus<br><ul><li>Avatud diskussioon autorikaitse ja autoriõiguste üle.</li><li>Uus seaduseelnõu tekitas elava diskussiooni.</li><li>Ettekannetele järgneb diskussioon.</li><li>Riigikogu pidas diskussiooni maksude üle.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>diskussioon</td><td>diskussioonid</td></tr><tr><td>omas</td><td>diskussiooni</td><td>diskussioonide</td></tr><tr><td>osas</td><td>diskussiooni</td><td>diskussioone,diskussioonisid</td></tr><tr><td>lüh sütl</td><td>diskussiooni</td><td></td></tr></tbody></table>|<ol><li>дискуссия, спор, обсуждение вопроса, <span style="opacity: 0.5294117647058824">рассуждение</span>, <span style="opacity: 0.5294117647058824">обсуждение</span></li></ol>
distants|<ol><li>ruumiline või ajaline vahemaa millegi või kellegi vahel,vahemaa millegi või kellegi vahel,spordis vahemaa stardist finišini<br><ul><li>Ta püüdis distantsilt vanamehega vestlust alustada.</li><li>Ajaloo suurte murrangute hindamiseks vajame ajalist distantsi.</li><li>Distantsi pikkus on kümme kilomeetrit.</li></ul><li>(spordis:) vahemaa stardist finišini<br><ul><li>Pikale distantsile registreerus üle 600 suusataja.</li><li>Jooksudistants.</li></ul><li>positsioonist, east vms tingitud reserveeritus, vajalik tagasihoidlikkus suhtlemises<br><ul><li>Hoia temaga distantsi ning suhtle ka teiste inimestega.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>distants</td><td>distantsid</td></tr><tr><td>omas</td><td>distantsi</td><td>distantside</td></tr><tr><td>osas</td><td>distantsi</td><td>distantse,distantsisid</td></tr><tr><td>lüh sütl</td><td>distantsi</td><td></td></tr></tbody></table>|<ol><li>дистанция, расстояние, <span style="opacity: 0.5294117647058824">расстояние</span>, <span style="opacity: 0.5294117647058824">дистанция</span>, <span style="opacity: 0.5294117647058824">расстояние</span></li><li>дистанция, расстояние, <span style="opacity: 0.41117647058823525">дистанция соревнований</span></li><li>дистанция, <span style="opacity: 0.5294117647058824">дистанция</span></li></ol>
draama|<ol><li>(tõsise sisuga) näidend,(tõsise sisuga) näidend teatri või televisiooni jaoks<br><ul><li>Vanemuises etendub Henrik Ibseni draama "Hedda Gabler".</li><li>August Kitzbergi draamad "Libahunt" ja "Kauka jumal" on tuntud igas kodus ja koolis.</li></ul><li>näitekirjandus, hrl kirjanduse liigina<br><ul><li>Madis Kõiv tõusis kirjanduses ja draamas võimsalt esile 20. sajandi viimasel kümnendil.</li></ul><li>tõsise teema, sisu ja süžeega mängufilm,vastav filmižanr<br><ul><li>Mängufilmide suvehooaja juhatab sisse Jane Campioni haarav draama.</li><li>Tegemist pole kummitusfilmiga, vaid psühholoogilise draamaga naise hullumisest.</li><li>Film kandideerib auhinnale parima draama kategoorias.</li></ul><li>vapustav elusündmus, raske elamus<br><ul><li>Minu tee muusika juurde on kulgenud suuremate draamadeta.</li><li>Mitte kellegi elu ei ole lõputu õnnelik kulgemine, igas elus on ka draamat, tagasilööke ja ebaõnne.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>draama</td><td>draamad</td></tr><tr><td>omas</td><td>draama</td><td>draamade</td></tr><tr><td>osas</td><td>draamat</td><td>draamasid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>драма, <span style="opacity: 0.5294117647058824">драматическое произведение</span></li><li>драма, <span style="opacity: 0.5294117647058824">пьеса</span>, <span style="opacity: 0.5294117647058824">сценическая история</span>, <span style="opacity: 0.5294117647058824">спектакль</span>, <span style="opacity: 0.5294117647058824">драматургия</span></li><li></li><li>драма, <span style="opacity: 0.4117647058823529">ошеломление</span>, <span style="opacity: 0.4117647058823529">потрясение</span>, <span style="opacity: 0.4117647058823529">шок</span>, <span style="opacity: 0.4117647058823529">напряжение</span></li></ol>
ebaaus|<ol><li>pettust kasutav, tõest ja õiglusest mittejuhinduv,lepetest ja lubadustest mitte kinnipidav,kui inimene on ebaaus, siis ta ei räägi tõtt ja ta petab<br><ul><li>Sinu vend oli sinu vastu ebaaus.</li><li>Liiga palju on ebaausaid ettevõtjaid.</li><li>Ebaausate võtetega edu ei saavuta.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ebaaus</td><td>ebaausad</td></tr><tr><td>omas</td><td>ebaausa</td><td>ebaausate</td></tr><tr><td>osas</td><td>ebaausat</td><td>ebaausaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>нечестный, бесчестный, непорядочный, нечистый, <span style="opacity: 0.5294117647058824">прохиндейский</span></li></ol>
ebaharilik|<ol><li>tavalisest, harjumuspärasest erinev, millegi poolest isesugune või erakordne,selline, mida näeb või juhtub harva, mitte harilik ega laialt levinud<br><ul><li>Ebahariliku käitumisega metsloom võib olla marutaudis.</li><li>Majas valitses ebaharilik vaikus.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ebaharilik</td><td>ebaharilikud</td></tr><tr><td>omas</td><td>ebahariliku</td><td>ebaharilike,ebaharilikkude</td></tr><tr><td>osas</td><td>ebaharilikku</td><td>ebaharilikke,ebaharilikkusid</td></tr><tr><td>lüh sütl</td><td>ebaharilikku</td><td></td></tr></tbody></table>|<ol><li>необыкновенный, необычный, необычайный, особенный, нетипичный</li></ol>
ebakindel|<ol><li>selline, mis võib muutuda, mis ei püsi,juhuslikumat laadi, kord nii, kord naa<br><ul><li>Riigi sotsiaalne süsteem on juba pikemat aega olnud nõrk ja ebakindel.</li></ul><li>liigutuselt, liikumiselt kohmetu, natuke kõikuv või värisev<br><ul><li>Astun ebakindlal sammul suletud värava poole.</li><li>Ebakindla sõidustiiliga liikuv auto.</li></ul><li>selline, mis paneb kahtlema (ja muretsema), kindlustunnet mittepakkuv,kõhklusi väljendav või tekitav,selline, et sa kahtled ja muretsed,selline, et sa pole kindel, kas mida teha või kas miski on tõsi<br><ul><li>Tulevik on ebakindel.</li><li>Ebakindel majanduslik olukord.</li><li>Ebakindel noorukist dirigent.</li><li>Majanduses on praegu ebakindel olukord.</li><li>Ta on väga ebakindel inimene.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ebakindel</td><td>ebakindlad</td></tr><tr><td>omas</td><td>ebakindla</td><td>ebakindlate</td></tr><tr><td>osas</td><td>ebakindlat</td><td>ebakindlaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>ненадёжный, <span style="opacity: 0.5294117647058824">непостоянный</span>, <span style="opacity: 0.5294117647058824">неустойчивый</span>, <span style="opacity: 0.5294117647058824">нестойкий</span>, <span style="opacity: 0.5294117647058824">лабильный</span></li><li>неуверенный, неустойчивый, непостоянный, непрочный, шаткий</li><li>неуверенный, <span style="opacity: 0.5294117647058824">сомнительный</span>, <span style="opacity: 0.5294117647058824">не внушающий доверия</span>, <span style="opacity: 0.5294117647058824">внушающий подозрение</span>, <span style="opacity: 0.5294117647058824">подозрительный</span></li></ol>
ebakindlus|<ol><li>seisund, kus ei tea, mis tuleb või kas miski püsib, hrl hirmu, ärevust tekitav, ebakindel olek,seisund, kus ei tea, mis tuleb või kas miski püsib<br><ul><li>Tundsin pidevat ebakindlust tuleviku ees.</li><li>Maailma majanduse üldise ebakindlus.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ebakindlus</td><td>-</td></tr><tr><td>omas</td><td>ebakindluse</td><td>-</td></tr><tr><td>osas</td><td>ebakindlust</td><td>-</td></tr><tr><td>lüh sütl</td><td>ebakindlusse</td><td></td></tr></tbody></table>|<ol><li>неуверенность, неверность, неустойчивость, непрочность, шаткость</li></ol>
ebamugav|<ol><li>(kehaliste aistingutega seoses:) häiriv, halba enesetunnet põhjustav,selline, et ei ole keha jaoks hea (peal istuda, lamada või seljas kanda)<br><ul><li>Väga ebamugavad toolid.</li><li>Ebamugav asend tekitas seljas pingeid.</li><li>Tool oli kõva ja ebamugav.</li><li>Need saapad on väga ebamugavad.</li></ul><li>piinlikkust, ebameeldivat tunnet vms tekitav,ebameeldiv, piinlik<br><ul><li>Koosolekul üritati ebamugavaid teemasid vältida.</li><li>Olukord oli minu jaoks äärmiselt ebamugav.</li><li>Saalis tekkis ebamugav vaikus.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>ebamugav</td><td>ebamugavad</td></tr><tr><td>omas</td><td>ebamugava</td><td>ebamugavate</td></tr><tr><td>osas</td><td>ebamugavat</td><td>ebamugavaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>неудобный, неуютный, малоудобный, <span style="opacity: 0.5294117647058824">аховый</span>, <span style="opacity: 0.5294117647058824">плохой</span></li><li>неловкий, <span style="opacity: 0.5294117647058824">чудной</span>, <span style="opacity: 0.5294117647058824">глупый</span>, <span style="opacity: 0.5294117647058824">глуповатый</span>, <span style="opacity: 0.5294117647058824">смешной</span></li></ol>
